
OrderId,CusId,CustomerName,ProductID,ProductName,CatID,Category,ProductPrice,Qty,PayType,Valid,DatePurchased,CountryID,Country,Website
7871,47,Cynthia Dean,17,Sony External Hard drive,3,Computers,99,1,Check,Invalid,2021-08-24,61,United Arab Emirates,www.Wal-Mart.com
8394,24,Ethan Shaw,18,Sony Router,3,Computers,99,2,Card,Valid,2022-06-07,45,Indonesia,www.Samsung.com
7306,48,Danny Maggis,12,Xbox Series X,7,Video games,599,1,Check,Valid,2021-04-04,52,Russia,www.Samsung.com
7662,43,Taylor Wind,24,PlayStation Controller,7,Video games,49,1,Check,Valid,2021-10-12,32,Canada,www.Samsung.com
6401,71,Elcy Jean,28,Whirlpool dishwasher,8,Appliances,799,1,Check,Invalid,2021-01-06,40,Congo,www.Amazon.com
4921,5,Micheal Gus,22,IPhone 14,2,Phones,1299,1,Card,Valid,2020-07-28,2,Albania,www.Samsung.com
1191,62,Emma Streak,22,IPhone 14,2,Phones,1299,1,Internet Banking,Invalid,2021-05-23,45,Indonesia,www.Amazon.com
7595,48,Danny Maggis,24,PlayStation Controller,7,Video games,49,2,Card,Valid,2020-09-23,43,Hungary,www.Samsung.com
5712,21,Kenneth Zah,4,Dell Computer,3,Computers,599,1,Check,Valid,2022-01-11,40,Congo,www.Amazon.com
7249,37,Elizabeth kind,33,Hamilton Beach Microwave,8,Appliances,79,1,Internet Banking,Valid,2021-10-28,63,United States,www.Wal-Mart.com
8397,20,Danielle Will,8,Beats Headphones,5,Headphones,399,2,Check,Valid,2019-05-24,37,Colombia,www.Samsung.com
4726,69,Marc Galdson,25,Xbox Controller,7,Video games,49,2,Check,Valid,2019-12-25,6,Barbuda,www.Amazon.com
1580,67,Lillian Cruz,12,Xbox Series X,7,Video games,599,1,Internet Banking,Valid,2022-04-17,28,Burundi,www.Samsung.com
9951,9,Ben Hues,9,Sony Headphones,5,Headphones,399,2,Card,Valid,2022-01-19,6,Barbuda,www.Wal-Mart.com
6039,55,Camila Grant,9,Sony Headphones,5,Headphones,399,2,Check,Valid,2019-06-13,29,Verde,www.Samsung.com
6448,30,Chipp Zanuff,14,Xbox Series S,7,Video games,499,2,Internet Banking,Valid,2019-08-31,17,Benin,www.Amazon.com
6070,27,Sol Badguy,27,Samsung Refrigerator,8,Appliances,599,1,Card,Valid,2019-09-17,43,Hungary,www.Amazon.com
8587,16,Farrah Michelle,24,PlayStation Controller,7,Video games,49,1,Internet Banking,Valid,2020-10-21,55,Togo,www.Amazon.com
5839,50,Matthew Rosen,17,Sony External Hard drive,3,Computers,99,1,Internet Banking,Valid,2021-03-23,9,Austria,www.Samsung.com
1995,57,Evelyn Michels,16,Airpods,5,Headphones,199,1,Card,Valid,2021-02-20,47,Japan,www.Samsung.com
2421,6,Michelle Otter,10,Sony Home theater,6,Home theater,499,1,Check,Valid,2020-01-25,58,Tunisia,www.Amazon.com
4285,4,Ken Masters,16,Airpods,5,Headphones,199,1,Card,Valid,2020-09-13,19,Bolivia,www.Amazon.com
3536,70,Gemina Zoe,8,Beats Headphones,5,Headphones,399,1,Check,Valid,2019-12-04,9,Austria,www.Amazon.com
1974,39,Zangieff Russ,27,Samsung Refrigerator,8,Appliances,599,2,Card,Invalid,2020-01-26,29,Verde,www.Wal-Mart.com
5895,73,Erick Manison,20,Sony PlayStation 4,7,Video games,299,2,Card,Valid,2022-06-04,54,South Africa,www.Wal-Mart.com
1451,13,Sophia Jean,15,Tozo Wireless Earbubs,5,Headphones,29,2,Check,Valid,2022-05-25,9,Austria,www.Wal-Mart.com
1901,44,Karmelo Winnie,29,Samsung Washer,8,Appliances,799,1,Card,Invalid,2020-12-18,24,Brazil,www.Wal-Mart.com
5781,21,Kenneth Zah,9,Sony Headphones,5,Headphones,399,2,Check,Valid,2019-10-31,41,Germany,www.Samsung.com
1764,43,Taylor Wind,2,S21 cell phone,2,Phones,1299,2,Check,Valid,2020-02-24,1,Afghanistan,www.Wal-Mart.com
850,65,Aurora Grace,14,Xbox Series S,7,Video games,499,2,Internet Banking,Valid,2021-03-23,2,Albania,www.Amazon.com
2922,11,Abel don,11,Hp Compaq Monitor,3,Computers,499,1,Check,Invalid,2020-08-21,23,Botswana,www.Samsung.com
1147,33,Faust Williams,33,Hamilton Beach Microwave,8,Appliances,79,2,Internet Banking,Invalid,2020-11-24,26,Bulgaria,www.Amazon.com
5087,43,Taylor Wind,2,S21 cell phone,2,Phones,1299,1,Card,Valid,2020-02-26,38,Comoros,www.Amazon.com
7597,2,Danny hue,1,Samsung Tablet,1,Tablets,299,1,Card,Invalid,2020-02-10,14,Belarus,www.Amazon.com
2151,14,McKenzie Phoenix,26,Optiplex 990 Desktop,3,Computers,499,1,Check,Invalid,2021-12-12,48,North Korea,www.Amazon.com
4148,44,Karmelo Winnie,16,Airpods,5,Headphones,199,1,Internet Banking,Valid,2020-08-15,13,Barbados,www.Samsung.com
5765,27,Sol Badguy,24,PlayStation Controller,7,Video games,49,2,Internet Banking,Invalid,2020-12-04,44,India,www.Samsung.com
5062,10,Chris Gene,1,Samsung Tablet,1,Tablets,299,1,Card,Invalid,2020-02-13,49,Philippines,www.Amazon.com
3884,58,Mia pena,29,Samsung Washer,8,Appliances,799,2,Check,Invalid,2019-09-17,50,Portugal,www.Samsung.com
7602,21,Kenneth Zah,31,Maytag Washer,8,Appliances,899,2,Card,Valid,2020-08-23,44,India,www.Amazon.com
4327,67,Lillian Cruz,18,Sony Router,3,Computers,99,2,Card,Invalid,2019-03-20,55,Togo,www.Wal-Mart.com
8248,54,Luna Starr,24,PlayStation Controller,7,Video games,49,2,Check,Invalid,2021-10-02,42,Hong Kong,www.Samsung.com
2847,7,Morgan Freeman,24,PlayStation Controller,7,Video games,49,2,Internet Banking,Invalid,2021-02-10,10,Azerbaijan,www.Wal-Mart.com
6899,20,Danielle Will,26,Optiplex 990 Desktop,3,Computers,499,2,Card,Valid,2020-02-04,36,China,www.Amazon.com
5412,60,Amelia Crawford,24,PlayStation Controller,7,Video games,49,1,Card,Invalid,2020-11-24,20,Bosnia,www.Wal-Mart.com
3806,12,Rose Jean,33,Hamilton Beach Microwave,8,Appliances,79,1,Card,Invalid,2020-09-29,17,Benin,www.Wal-Mart.com
4259,26,Kay Kiske,22,IPhone 14,2,Phones,1299,2,Internet Banking,Invalid,2020-01-07,40,Congo,www.Wal-Mart.com
8973,27,Sol Badguy,11,Hp Compaq Monitor,3,Computers,499,2,Check,Valid,2021-12-06,25,Brunei,www.Samsung.com
4623,1,Normand Michel,11,Hp Compaq Monitor,3,Computers,499,2,Card,Valid,2021-12-01,55,Togo,www.Amazon.com
5803,43,Taylor Wind,12,Xbox Series X,7,Video games,599,1,Internet Banking,Valid,2020-10-16,19,Bolivia,www.Amazon.com
7035,4,Ken Masters,4,Dell Computer,3,Computers,599,1,Card,Invalid,2020-12-17,18,Bhutan,www.Amazon.com
6743,57,Evelyn Michels,20,Sony PlayStation 4,7,Video games,299,1,Card,Invalid,2019-10-24,3,Algeria,www.Wal-Mart.com
9775,6,Michelle Otter,32,Samsung Stove,8,Appliances,699,1,Card,Valid,2020-03-30,19,Bolivia,www.Wal-Mart.com
9734,14,McKenzie Phoenix,29,Samsung Washer,8,Appliances,799,2,Card,Invalid,2019-10-22,14,Belarus,www.Samsung.com
7851,49,Daniel Maggio,20,Sony PlayStation 4,7,Video games,299,1,Card,Invalid,2020-04-04,48,North Korea,www.Samsung.com
1093,67,Lillian Cruz,8,Beats Headphones,5,Headphones,399,2,Check,Invalid,2021-12-31,6,Barbuda,www.Amazon.com
1540,54,Luna Starr,25,Xbox Controller,7,Video games,49,1,Card,Invalid,2021-01-30,51,Romania,www.Samsung.com
289,1,Normand Michel,20,Sony PlayStation 4,7,Video games,299,1,Check,Invalid,2019-09-16,61,United Arab Emirates,www.Wal-Mart.com
4271,62,Emma Streak,10,Sony Home theater,6,Home theater,499,2,Internet Banking,Invalid,2020-03-23,27,Burkina Faso,www.Wal-Mart.com
3726,26,Kay Kiske,29,Samsung Washer,8,Appliances,799,2,Check,Valid,2021-06-14,13,Barbados,www.Amazon.com
9255,65,Aurora Grace,1,Samsung Tablet,1,Tablets,299,2,Card,Valid,2019-06-25,58,Tunisia,www.Samsung.com
9478,45,Brian Sea,5,Sony Speakers,4,Audio,299,1,Check,Valid,2021-02-10,60,Ukraine,www.Samsung.com
7508,69,Marc Galdson,8,Beats Headphones,5,Headphones,399,1,Internet Banking,Valid,2021-03-21,59,Turkey,www.Amazon.com
9053,72,Paisley Everly,8,Beats Headphones,5,Headphones,399,1,Internet Banking,Invalid,2019-01-24,51,Romania,www.Wal-Mart.com
8954,19,Chris garnet,21,S22 cell phone,2,Phones,1299,1,Card,Valid,2020-04-21,6,Barbuda,www.Samsung.com
2159,18,Lewis Garden,5,Sony Speakers,4,Audio,299,1,Internet Banking,Invalid,2020-01-30,56,Trinidad,www.Wal-Mart.com
1539,56,Harper Gene,10,Sony Home theater,6,Home theater,499,2,Check,Invalid,2022-01-17,42,Hong Kong,www.Amazon.com
9986,17,Christopher Michel,2,S21 cell phone,2,Phones,1299,2,Card,Valid,2019-10-11,11,Bahrain,www.Wal-Mart.com
9023,16,Farrah Michelle,27,Samsung Refrigerator,8,Appliances,599,2,Card,Valid,2021-01-27,53,Singapore,www.Wal-Mart.com
560,20,Danielle Will,25,Xbox Controller,7,Video games,49,2,Card,Valid,2020-12-21,30,Cambodia,www.Amazon.com
3998,19,Chris garnet,12,Xbox Series X,7,Video games,599,2,Internet Banking,Invalid,2020-05-08,8,Armenia,www.Samsung.com
6164,11,Abel don,12,Xbox Series X,7,Video games,599,2,Card,Invalid,2021-09-30,39,Congo,www.Wal-Mart.com
180,17,Christopher Michel,5,Sony Speakers,4,Audio,299,1,Card,Invalid,2021-07-25,1,Afghanistan,www.Wal-Mart.com
1874,33,Faust Williams,29,Samsung Washer,8,Appliances,799,1,Check,Invalid,2021-01-24,63,United States,www.Amazon.com
5762,53,Louis Clark,9,Sony Headphones,5,Headphones,399,2,Card,Invalid,2020-03-22,20,Bosnia,www.Wal-Mart.com
8614,16,Farrah Michelle,6,Sony Phone,2,Phones,1199,1,Check,Valid,2019-11-17,35,Chile,www.Amazon.com
3034,62,Emma Streak,25,Xbox Controller,7,Video games,49,2,Check,Valid,2019-10-15,43,Hungary,www.Wal-Mart.com
7134,8,Sherrell Lattes,16,Airpods,5,Headphones,199,2,Check,Valid,2021-05-10,53,Singapore,www.Amazon.com
4733,26,Kay Kiske,3,Sony Desktop,3,Computers,599,1,Card,Valid,2021-09-22,10,Azerbaijan,www.Wal-Mart.com
3362,61,Charlotte Hanson,2,S21 cell phone,2,Phones,1299,2,Internet Banking,Valid,2022-04-24,62,United Kingdom,www.Amazon.com
710,56,Harper Gene,3,Sony Desktop,3,Computers,599,2,Card,Invalid,2020-02-09,10,Azerbaijan,www.Wal-Mart.com
3923,35,Laurelton Shera,9,Sony Headphones,5,Headphones,399,2,Internet Banking,Valid,2021-03-24,32,Canada,www.Wal-Mart.com
1129,19,Chris garnet,12,Xbox Series X,7,Video games,599,1,Card,Valid,2019-05-13,18,Bhutan,www.Amazon.com
1957,59,Isabella Willford,21,S22 cell phone,2,Phones,1299,1,Card,Invalid,2021-02-11,31,Cameroon,www.Amazon.com
1553,32,Kliff Undersn,5,Sony Speakers,4,Audio,299,2,Card,Invalid,2019-11-21,6,Barbuda,www.Samsung.com
4022,49,Daniel Maggio,5,Sony Speakers,4,Audio,299,1,Check,Invalid,2020-11-30,15,Belgium,www.Wal-Mart.com
8325,47,Cynthia Dean,16,Airpods,5,Headphones,199,1,Card,Invalid,2019-05-05,11,Bahrain,www.Samsung.com
8184,9,Ben Hues,17,Sony External Hard drive,3,Computers,99,2,Check,Invalid,2020-02-26,53,Singapore,www.Wal-Mart.com
4554,61,Charlotte Hanson,22,IPhone 14,2,Phones,1299,2,Internet Banking,Valid,2020-02-11,6,Barbuda,www.Samsung.com
3765,57,Evelyn Michels,33,Hamilton Beach Microwave,8,Appliances,79,1,Internet Banking,Invalid,2020-03-12,30,Cambodia,www.Wal-Mart.com
964,5,Micheal Gus,23,Vizio TV,9,TV's,199,2,Card,Invalid,2020-10-29,24,Brazil,www.Samsung.com
4983,53,Louis Clark,17,Sony External Hard drive,3,Computers,99,1,Card,Valid,2019-03-31,44,India,www.Samsung.com
6474,42,Sherry Cher,33,Hamilton Beach Microwave,8,Appliances,79,2,Card,Valid,2021-02-23,58,Tunisia,www.Wal-Mart.com
1639,24,Ethan Shaw,7,IPhone 13,2,Phones,1299,1,Check,Invalid,2020-11-14,46,Italy,www.Wal-Mart.com
8238,9,Ben Hues,6,Sony Phone,2,Phones,1199,1,Card,Valid,2021-02-23,11,Bahrain,www.Wal-Mart.com
1809,2,Danny hue,11,Hp Compaq Monitor,3,Computers,499,2,Card,Valid,2020-01-18,11,Bahrain,www.Samsung.com
4743,4,Ken Masters,26,Optiplex 990 Desktop,3,Computers,499,1,Card,Invalid,2020-05-31,51,Romania,www.Samsung.com
7459,14,McKenzie Phoenix,17,Sony External Hard drive,3,Computers,99,1,Internet Banking,Invalid,2020-08-31,26,Bulgaria,www.Samsung.com
5908,32,Kliff Undersn,15,Tozo Wireless Earbubs,5,Headphones,29,2,Card,Valid,2021-01-18,54,South Africa,www.Samsung.com
9165,42,Sherry Cher,15,Tozo Wireless Earbubs,5,Headphones,29,2,Card,Valid,2022-06-10,42,Hong Kong,www.Wal-Mart.com
865,26,Kay Kiske,6,Sony Phone,2,Phones,1199,1,Card,Valid,2019-11-22,41,Germany,www.Samsung.com
8746,65,Aurora Grace,22,IPhone 14,2,Phones,1299,1,Card,Invalid,2022-02-04,38,Comoros,www.Amazon.com
5936,21,Kenneth Zah,7,IPhone 13,2,Phones,1299,1,Check,Invalid,2021-07-09,12,Bangladesh,www.Samsung.com
6997,37,Elizabeth kind,16,Airpods,5,Headphones,199,1,Card,Invalid,2022-05-03,56,Trinidad,www.Amazon.com
9850,17,Christopher Michel,7,IPhone 13,2,Phones,1299,1,Internet Banking,Valid,2019-08-12,56,Trinidad,www.Samsung.com
5252,25,Melia Rage,27,Samsung Refrigerator,8,Appliances,599,2,Card,Valid,2020-03-02,24,Brazil,www.Samsung.com
3450,73,Erick Manison,33,Hamilton Beach Microwave,8,Appliances,79,2,Check,Valid,2020-08-13,56,Trinidad,www.Wal-Mart.com
1490,61,Charlotte Hanson,21,S22 cell phone,2,Phones,1299,2,Check,Invalid,2019-09-08,2,Albania,www.Amazon.com
6387,38,Honey Wells,28,Whirlpool dishwasher,8,Appliances,799,2,Internet Banking,Invalid,2019-07-02,11,Bahrain,www.Samsung.com
676,27,Sol Badguy,23,Vizio TV,9,TV's,199,1,Card,Invalid,2019-11-14,42,Hong Kong,www.Samsung.com
4856,56,Harper Gene,5,Sony Speakers,4,Audio,299,1,Internet Banking,Valid,2020-08-20,16,Belize,www.Wal-Mart.com
6755,41,Chungli Chin,8,Beats Headphones,5,Headphones,399,2,Internet Banking,Invalid,2019-09-24,46,Italy,www.Wal-Mart.com
3361,69,Marc Galdson,18,Sony Router,3,Computers,99,2,Card,Invalid,2019-08-06,10,Azerbaijan,www.Samsung.com
9208,32,Kliff Undersn,3,Sony Desktop,3,Computers,599,2,Check,Invalid,2022-06-01,54,South Africa,www.Samsung.com
9436,73,Erick Manison,21,S22 cell phone,2,Phones,1299,1,Card,Invalid,2020-02-24,27,Burkina Faso,www.Wal-Mart.com
665,38,Honey Wells,13,Sony PlayStation 5,7,Video games,499,2,Internet Banking,Valid,2020-02-24,39,Congo,www.Wal-Mart.com
1358,65,Aurora Grace,32,Samsung Stove,8,Appliances,699,1,Card,Valid,2022-02-07,26,Bulgaria,www.Amazon.com
4704,7,Morgan Freeman,15,Tozo Wireless Earbubs,5,Headphones,29,2,Check,Valid,2021-01-28,35,Chile,www.Samsung.com
7745,63,Oliva Gems,11,Hp Compaq Monitor,3,Computers,499,1,Internet Banking,Invalid,2019-03-18,13,Barbados,www.Wal-Mart.com
2291,14,McKenzie Phoenix,10,Sony Home theater,6,Home theater,499,1,Card,Valid,2021-03-08,7,Argentina,www.Amazon.com
3834,24,Ethan Shaw,25,Xbox Controller,7,Video games,49,1,Card,Valid,2019-11-22,33,Central African Republic,www.Amazon.com
2425,65,Aurora Grace,13,Sony PlayStation 5,7,Video games,499,2,Internet Banking,Valid,2019-02-04,4,Andorra,www.Samsung.com
2784,65,Aurora Grace,13,Sony PlayStation 5,7,Video games,499,1,Internet Banking,Invalid,2019-07-11,10,Azerbaijan,www.Amazon.com
1251,4,Ken Masters,27,Samsung Refrigerator,8,Appliances,599,1,Internet Banking,Valid,2021-10-31,44,India,www.Amazon.com
7969,25,Melia Rage,6,Sony Phone,2,Phones,1199,1,Card,Valid,2022-05-22,63,United States,www.Samsung.com
919,2,Danny hue,25,Xbox Controller,7,Video games,49,1,Internet Banking,Invalid,2020-08-01,44,India,www.Wal-Mart.com
7371,29,Justice Rage,6,Sony Phone,2,Phones,1199,2,Internet Banking,Invalid,2021-02-04,57,Tobago,www.Amazon.com
9404,9,Ben Hues,18,Sony Router,3,Computers,99,1,Card,Valid,2020-08-21,47,Japan,www.Wal-Mart.com
4712,38,Honey Wells,29,Samsung Washer,8,Appliances,799,1,Check,Valid,2022-03-27,51,Romania,www.Wal-Mart.com
5789,53,Louis Clark,32,Samsung Stove,8,Appliances,699,2,Card,Valid,2021-03-28,15,Belgium,www.Samsung.com
780,18,Lewis Garden,30,Samsung Dryer,8,Appliances,799,1,Internet Banking,Valid,2021-02-12,52,Russia,www.Samsung.com
1800,38,Honey Wells,7,IPhone 13,2,Phones,1299,1,Card,Valid,2021-08-15,34,Channel Islands,www.Wal-Mart.com
1201,19,Chris garnet,4,Dell Computer,3,Computers,599,2,Card,Valid,2019-04-06,42,Hong Kong,www.Wal-Mart.com
5673,25,Melia Rage,31,Maytag Washer,8,Appliances,899,2,Check,Invalid,2021-06-05,41,Germany,www.Amazon.com
2503,8,Sherrell Lattes,18,Sony Router,3,Computers,99,2,Check,Invalid,2019-12-28,50,Portugal,www.Amazon.com
8345,18,Lewis Garden,29,Samsung Washer,8,Appliances,799,1,Card,Invalid,2020-02-12,4,Andorra,www.Amazon.com
2046,6,Michelle Otter,19,Sony FlatScreen TV,9,TV's,1199,2,Card,Invalid,2020-04-23,29,Verde,www.Wal-Mart.com
7936,38,Honey Wells,28,Whirlpool dishwasher,8,Appliances,799,1,Internet Banking,Invalid,2020-03-25,15,Belgium,www.Samsung.com
6348,26,Kay Kiske,6,Sony Phone,2,Phones,1199,1,Card,Valid,2021-09-23,51,Romania,www.Samsung.com
9259,29,Justice Rage,26,Optiplex 990 Desktop,3,Computers,499,1,Check,Invalid,2019-05-14,1,Afghanistan,www.Amazon.com
5650,41,Chungli Chin,31,Maytag Washer,8,Appliances,899,2,Internet Banking,Valid,2020-01-22,55,Togo,www.Samsung.com
5955,51,Karen Starrs,10,Sony Home theater,6,Home theater,499,2,Check,Invalid,2021-10-18,25,Brunei,www.Samsung.com
1784,20,Danielle Will,3,Sony Desktop,3,Computers,599,1,Card,Valid,2019-05-09,12,Bangladesh,www.Samsung.com
483,5,Micheal Gus,32,Samsung Stove,8,Appliances,699,2,Card,Valid,2020-05-17,5,Antigua,www.Wal-Mart.com
5650,28,Baiken Faust,27,Samsung Refrigerator,8,Appliances,599,2,Internet Banking,Invalid,2022-04-04,24,Brazil,www.Wal-Mart.com
6588,62,Emma Streak,5,Sony Speakers,4,Audio,299,2,Check,Valid,2022-03-07,40,Congo,www.Amazon.com
4138,13,Sophia Jean,11,Hp Compaq Monitor,3,Computers,499,1,Card,Valid,2019-10-05,33,Central African Republic,www.Samsung.com
664,16,Farrah Michelle,11,Hp Compaq Monitor,3,Computers,499,2,Internet Banking,Invalid,2021-06-08,32,Canada,www.Wal-Mart.com
2666,55,Camila Grant,6,Sony Phone,2,Phones,1199,1,Card,Valid,2019-02-03,10,Azerbaijan,www.Samsung.com
8937,38,Honey Wells,28,Whirlpool dishwasher,8,Appliances,799,1,Check,Invalid,2020-07-11,19,Bolivia,www.Wal-Mart.com
1027,7,Morgan Freeman,26,Optiplex 990 Desktop,3,Computers,499,2,Internet Banking,Invalid,2020-08-19,59,Turkey,www.Amazon.com
588,61,Charlotte Hanson,14,Xbox Series S,7,Video games,499,2,Card,Valid,2019-08-20,3,Algeria,www.Amazon.com
587,61,Charlotte Hanson,19,Sony FlatScreen TV,9,TV's,1199,2,Internet Banking,Invalid,2019-11-25,8,Armenia,www.Amazon.com
1267,60,Amelia Crawford,7,IPhone 13,2,Phones,1299,2,Card,Valid,2019-06-06,56,Trinidad,www.Amazon.com
7607,45,Brian Sea,1,Samsung Tablet,1,Tablets,299,2,Internet Banking,Valid,2019-08-26,34,Channel Islands,www.Samsung.com
2231,33,Faust Williams,12,Xbox Series X,7,Video games,599,2,Internet Banking,Valid,2020-09-14,48,North Korea,www.Wal-Mart.com
9633,2,Danny hue,11,Hp Compaq Monitor,3,Computers,499,2,Card,Valid,2021-03-22,15,Belgium,www.Samsung.com
7451,23,Noah Han,24,PlayStation Controller,7,Video games,49,2,Check,Invalid,2019-04-17,7,Argentina,www.Samsung.com
6384,29,Justice Rage,20,Sony PlayStation 4,7,Video games,299,2,Internet Banking,Invalid,2019-12-22,53,Singapore,www.Samsung.com
7456,23,Noah Han,20,Sony PlayStation 4,7,Video games,299,1,Card,Valid,2022-06-22,7,Argentina,www.Samsung.com
2818,44,Karmelo Winnie,18,Sony Router,3,Computers,99,1,Check,Valid,2022-04-19,4,Andorra,www.Wal-Mart.com
689,48,Danny Maggis,13,Sony PlayStation 5,7,Video games,499,1,Card,Valid,2020-02-18,47,Japan,www.Samsung.com
2656,41,Chungli Chin,10,Sony Home theater,6,Home theater,499,2,Card,Invalid,2021-01-02,46,Italy,www.Amazon.com
2616,22,Liam Shaw,28,Whirlpool dishwasher,8,Appliances,799,2,Card,Valid,2021-01-23,18,Bhutan,www.Wal-Mart.com
3107,51,Karen Starrs,1,Samsung Tablet,1,Tablets,299,1,Internet Banking,Invalid,2020-08-14,37,Colombia,www.Amazon.com
737,68,Addison Leah,1,Samsung Tablet,1,Tablets,299,2,Internet Banking,Invalid,2022-01-18,55,Togo,www.Wal-Mart.com
262,26,Kay Kiske,10,Sony Home theater,6,Home theater,499,1,Card,Invalid,2022-06-20,60,Ukraine,www.Amazon.com
8068,52,Tony Stark,7,IPhone 13,2,Phones,1299,1,Card,Valid,2020-12-07,27,Burkina Faso,www.Wal-Mart.com
1908,58,Mia pena,25,Xbox Controller,7,Video games,49,2,Check,Valid,2022-03-26,52,Russia,www.Samsung.com
140,54,Luna Starr,29,Samsung Washer,8,Appliances,799,1,Card,Invalid,2019-03-17,4,Andorra,www.Wal-Mart.com
8234,44,Karmelo Winnie,28,Whirlpool dishwasher,8,Appliances,799,2,Internet Banking,Invalid,2022-05-13,53,Singapore,www.Samsung.com
1382,25,Melia Rage,4,Dell Computer,3,Computers,599,1,Check,Invalid,2019-06-26,40,Congo,www.Amazon.com
7643,13,Sophia Jean,29,Samsung Washer,8,Appliances,799,2,Card,Invalid,2021-01-08,22,Herzegovina,www.Wal-Mart.com
7696,48,Danny Maggis,5,Sony Speakers,4,Audio,299,2,Card,Valid,2020-05-06,5,Angola,www.Amazon.com
9122,60,Amelia Crawford,17,Sony External Hard drive,3,Computers,99,2,Check,Valid,2021-08-16,26,Bulgaria,www.Wal-Mart.com
1544,61,Charlotte Hanson,11,Hp Compaq Monitor,3,Computers,499,1,Check,Invalid,2020-12-20,46,Italy,www.Amazon.com
